total,l1,l2,l3,l1r
514,4,11,7,0
515,4,11,7,0
516,4,11,7,0
517,4,11,7,0
518,4,11,7,0
519,4,11,7,0
520,4,11,7,0
521,4,11,7,0
522,4,11,7,0
523,4,11,7,0
524,4,11,7,0
525,4,11,7,0
526,4,11,7,0
527,4,11,7,0
528,4,11,7,0
529,4,11,7,0
530,4,11,7,0
531,4,11,7,0
532,4,11,7,0
533,4,11,7,0
534,4,11,7,0
535,4,11,7,0
536,4,11,7,0
537,4,11,7,0
538,4,11,7,0
539,4,11,7,0
540,4,11,7,0
541,4,11,7,0
542,4,11,7,0
543,4,11,7,0
544,4,11,7,0
545,4,11,7,0
546,4,11,7,0
547,4,11,7,0
548,4,11,7,0
549,4,11,7,0
550,4,11,7,0
551,4,11,7,0
552,4,11,6,0
553,4,11,6,0
554,4,11,6,0
555,4,11,6,0
556,4,11,6,0
557,4,11,6,0
558,4,11,6,0
559,4,11,6,0
560,4,11,6,0
561,4,11,6,0
562,4,11,6,0
563,4,11,6,0
564,4,11,6,0
565,4,11,6,0
566,4,11,6,0
567,4,11,6,0
568,4,11,6,0
569,4,11,6,0
570,4,11,6,0
571,4,11,6,0
572,4,11,6,0
573,4,11,6,0
574,4,11,6,0
575,4,11,6,0
576,4,11,6,0
577,4,11,6,0
578,4,11,6,0
579,4,11,6,0
580,4,11,6,0
581,4,11,6,0
582,4,11,6,0
583,4,11,6,0
584,4,11,6,0
585,4,11,6,0
586,4,11,6,0
587,4,11,6,0
588,4,11,6,0
589,4,11,6,0
590,4,11,6,0
591,4,11,6,0
592,4,11,6,0
593,4,11,6,0
594,4,11,6,0
595,4,11,6,0
596,4,11,6,0
597,4,11,6,0
598,4,11,6,0
599,4,11,6,0
600,4,11,6,0
601,4,11,6,0
602,4,11,6,0
603,4,11,6,0
604,4,11,6,0
605,4,11,6,0
606,4,11,6,0
607,4,11,6,0
608,4,11,6,0
609,4,11,6,0
610,4,11,6,0
611,4,11,6,0
612,4,11,6,0
613,4,11,6,0
614,4,11,6,0
615,4,11,6,0
616,4,11,6,0
617,4,11,6,0
618,4,11,6,0
619,4,11,6,0
620,4,11,6,0
621,4,11,6,0
622,4,11,6,0
623,4,11,6,0
624,4,11,6,0
625,4,11,6,0
626,4,11,6,0
627,4,11,6,0
628,4,11,6,0
629,4,11,6,0
630,4,11,6,0
631,4,11,6,0
632,4,11,6,0
633,4,11,6,0
634,4,11,6,0
635,4,11,6,0
636,4,11,6,0
637,4,11,6,0
638,4,11,6,0
639,4,11,6,0
640,4,11,6,0
641,4,11,6,0
642,4,11,6,0
643,4,11,6,0
644,4,11,6,0
645,4,11,6,0
646,4,11,6,0
647,4,11,6,0
648,4,11,6,0
649,4,11,6,0
650,4,11,6,0
651,4,11,6,0
652,4,11,6,0
653,4,11,6,0
654,4,11,6,0
655,4,11,6,0
656,4,11,6,0
657,4,11,6,0
658,4,11,6,0
659,4,11,6,0
660,4,11,6,0
661,4,11,6,0
662,4,11,6,0
663,4,11,6,0
664,4,11,6,0
665,4,11,6,0
666,4,11,6,0
667,4,11,6,0
668,4,11,6,0
669,4,11,6,0
670,4,11,6,0
671,4,11,6,0
672,4,11,6,0
673,4,11,6,0
674,4,11,6,0
675,4,11,6,0
676,4,11,6,0
677,4,11,6,0
678,4,11,6,0
679,4,11,6,0
680,4,11,6,0
681,4,11,6,0
682,4,11,6,0
683,4,11,6,0
684,4,11,6,0
685,4,11,6,0
686,4,11,6,0
687,4,11,6,0
688,4,11,6,0
689,4,11,6,0
690,4,11,6,0
691,4,11,6,0
692,4,11,6,0
693,4,11,6,0
694,4,11,6,0
695,4,11,6,0
696,4,11,6,0
697,4,11,6,0
698,4,11,6,0
699,4,11,6,0
700,4,11,6,0
701,4,11,6,0
702,4,11,6,0
703,4,11,6,0
704,4,11,6,0
705,4,11,6,0
706,4,11,6,0
707,4,11,6,0
708,4,11,6,0
709,4,11,6,0
710,4,11,6,0
711,4,11,6,0
712,4,11,6,0
713,4,11,6,0
714,4,11,6,0
715,4,11,6,0
716,4,11,6,0
717,4,11,6,0
718,4,11,6,0
719,4,11,6,0
720,4,11,6,0
721,4,11,6,0
722,4,11,6,0
723,4,11,6,0
724,4,11,6,0
725,4,11,6,0
726,4,11,5,0
727,4,11,5,0
728,4,11,5,0
729,4,11,5,0
730,4,11,5,0
731,4,11,5,0
732,4,11,5,0
733,4,11,5,0
734,4,11,5,0
735,4,11,5,0
736,4,11,5,0
737,4,11,5,0
738,4,11,5,0
739,4,11,5,0
740,4,11,5,0
741,4,11,5,0
742,4,11,5,0
743,4,11,5,0
744,4,11,5,0
745,4,11,5,0
746,4,11,5,0
747,4,11,5,0
748,4,11,5,0
749,4,11,5,0
750,4,11,5,0
751,4,11,5,0
752,4,11,5,0
753,4,11,5,0
754,4,11,5,0
755,4,11,5,0
756,4,11,5,0
757,4,11,5,0
758,4,11,5,0
759,4,11,5,0
760,4,11,5,0
761,4,11,5,0
762,4,11,5,0
763,4,11,5,0
764,4,11,5,0
765,4,11,5,0
766,4,11,5,0
767,4,11,5,0
768,4,11,5,0
769,4,11,5,0
770,4,11,5,0
771,4,11,5,0
772,4,11,5,0
773,4,11,5,0
774,4,11,5,0
775,4,11,5,0
776,4,11,5,0
777,4,11,5,0
778,4,11,5,0
779,4,11,5,0
780,4,11,5,0
781,4,11,5,0
782,4,11,5,0
783,4,11,5,0
784,4,11,5,0
785,4,11,5,0
786,4,11,5,0
787,4,11,5,0
788,4,11,5,0
789,4,11,5,0
790,4,11,5,0
791,4,11,5,0
792,4,11,5,0
793,4,11,5,0
794,4,11,5,0
795,4,11,5,0
796,4,11,5,0
797,4,11,5,0
798,4,11,5,0
799,4,11,5,0
800,4,11,5,0
801,4,11,5,0
802,4,11,5,0
803,4,11,5,0
804,4,11,5,0
805,4,11,5,0
806,4,11,5,0
807,4,11,5,0
808,4,11,5,0
809,4,11,5,0
810,4,11,5,0
811,4,11,5,0
812,4,11,5,0
813,4,11,5,0
814,4,11,5,0
815,4,11,5,0
816,4,11,5,0
817,4,11,5,0
818,4,11,5,0
819,4,11,5,0
820,4,11,5,0
821,4,11,5,0
822,4,11,5,0
823,4,11,5,0
824,4,11,5,0
825,4,11,5,0
826,4,11,5,0
827,4,11,5,0
828,4,11,5,0
829,4,11,5,0
830,4,11,5,0
831,4,11,5,0
832,4,11,5,0
833,4,11,5,0
834,4,11,5,0
835,4,11,5,0
836,4,11,5,0
837,4,11,5,0
838,4,11,5,0
839,4,11,5,0
840,4,11,5,0
841,4,11,5,0
842,4,11,5,0
843,4,11,5,0
844,4,11,5,0
845,4,11,5,0
846,4,11,5,0
847,4,11,5,0
848,4,11,5,0
849,4,11,5,0
850,4,11,5,0
851,4,11,5,0
