total,l1,l2,l3,l1r
749,6,10,5,0
750,6,10,5,0
751,6,10,5,0
752,6,10,5,0
753,6,10,5,0
754,6,10,5,0
755,6,10,5,0
756,6,10,5,0
757,6,10,5,0
758,6,10,5,0
759,6,10,5,0
760,6,10,5,0
761,6,10,5,0
762,6,10,5,0
763,6,10,5,0
764,6,10,5,0
765,6,10,5,0
766,6,10,5,0
767,6,10,5,0
768,6,10,5,0
769,6,10,5,0
770,6,10,5,0
771,6,10,5,0
772,6,10,5,0
773,6,10,5,0
774,6,10,5,0
775,6,10,5,0
776,6,10,5,0
777,6,10,5,0
778,6,10,5,0
779,6,10,5,0
780,6,10,5,0
781,6,10,5,0
782,6,10,5,0
783,6,10,5,0
784,6,10,5,0
785,6,10,5,0
786,6,10,5,0
787,6,10,5,0
788,6,10,5,0
789,6,10,5,0
790,6,10,5,0
791,6,10,5,0
792,6,10,5,0
793,6,10,5,0
794,6,10,5,0
795,6,10,5,0
796,6,10,5,0
797,6,10,5,0
798,6,10,5,0
799,6,10,5,0
800,6,10,5,0
801,6,10,5,0
802,6,10,5,0
803,6,10,5,0
804,6,10,5,0
805,6,10,5,0
806,6,10,5,0
807,6,10,5,0
808,6,10,5,0
809,6,10,5,0
810,6,10,5,0
811,6,10,5,0
812,6,10,5,0
813,6,10,5,0
814,6,10,5,0
815,6,10,5,0
816,6,10,5,0
817,6,10,5,0
818,6,10,5,0
819,6,10,5,0
820,6,10,5,0
821,6,10,5,0
822,6,10,5,0
823,6,10,5,0
824,6,10,5,0
825,6,10,5,0
826,6,10,5,0
827,6,10,5,0
828,6,10,5,0
829,6,10,5,0
830,6,10,5,0
831,6,10,5,0
832,6,10,5,0
833,6,10,5,0
834,6,10,5,0
835,6,10,5,0
836,6,10,5,0
837,6,10,5,0
838,6,10,5,0
839,6,10,5,0
840,6,10,5,0
841,6,10,5,0
842,6,10,5,0
843,6,10,5,0
844,6,10,5,0
845,6,10,5,0
846,6,10,5,0
847,6,10,5,0
848,6,10,5,0
849,6,10,5,0
850,6,10,5,0
851,6,10,5,0
852,6,10,5,0
853,6,10,5,0
854,6,10,5,0
855,6,10,5,0
856,6,10,5,0
857,6,10,5,0
858,6,10,5,0
859,6,10,5,0
860,6,10,5,0
861,6,10,5,0
862,6,10,5,0
863,6,10,5,0
864,6,10,5,0
