total,l1,l2,l3,l2r
537,0,13,14,2
538,0,13,14,2
539,0,13,14,2
540,0,13,14,2
541,0,13,14,2
542,0,13,14,2
543,0,13,14,2
544,0,13,14,2
545,0,13,14,2
546,0,13,14,2
547,0,13,14,2
548,0,13,14,2
549,0,13,14,2
550,0,13,14,2
551,0,13,14,2
552,0,13,14,2
553,0,13,14,2
554,0,13,14,2
555,0,13,14,2
556,0,13,14,2
557,0,13,14,2
558,0,13,14,2
559,0,13,14,2
560,0,13,14,2
561,0,13,14,2
562,0,13,14,2
563,0,13,14,2
564,0,13,14,2
565,0,13,14,2
566,0,13,14,2
567,0,13,14,2
568,0,13,14,2
569,0,13,14,2
570,0,13,14,2
571,0,13,14,2
572,0,13,14,2
573,0,13,14,2
574,0,13,14,2
575,0,13,14,2
576,0,13,14,2
577,0,13,14,2
578,0,13,14,2
579,0,13,14,2
580,0,13,14,2
581,0,13,14,2
582,0,13,14,2
583,0,13,14,2
584,0,13,14,2
585,0,13,14,2
586,0,13,14,2
587,0,13,14,2
588,0,13,14,2
589,0,13,14,2
590,0,13,14,2
591,0,13,14,2
592,0,13,14,2
593,0,13,14,2
594,0,13,14,2
595,0,13,14,2
596,0,13,14,2
597,0,13,14,2
598,0,13,14,2
599,0,13,14,2
600,0,13,14,2
601,0,13,14,2
602,0,13,14,2
603,0,13,14,2
604,0,13,14,2
605,0,13,14,2
606,0,13,14,2
607,0,13,14,2
608,0,13,14,2
609,0,13,14,2
610,0,13,14,2
611,0,13,14,2
612,0,13,14,2
613,0,13,14,2
614,0,13,14,2
615,0,13,14,2
616,0,13,14,2
617,0,13,14,2
618,0,13,14,2
619,0,13,14,2
620,0,13,14,2
621,0,13,14,2
622,0,13,14,2
623,0,13,14,2
624,0,13,14,2
625,0,13,14,2
626,0,13,14,2
627,0,13,14,2
628,0,13,14,2
629,0,13,14,2
630,0,13,14,2
631,0,13,14,2
632,0,13,14,2
633,0,13,14,2
634,0,13,14,2
635,0,13,14,2
636,0,13,14,2
637,0,13,14,2
638,0,13,14,2
639,0,13,14,2
640,0,13,14,2
641,0,13,14,2
642,0,13,14,2
643,0,13,14,2
644,0,13,14,2
645,0,13,14,2
646,0,13,14,2
647,0,13,14,2
648,0,13,14,2
649,0,13,14,2
650,0,13,14,2
651,0,13,14,2
652,0,13,14,2
653,0,13,14,2
654,0,13,14,2
655,0,13,14,2
656,0,13,14,2
657,0,13,14,2
658,0,13,14,2
659,0,13,14,2
660,0,13,14,2
661,0,13,14,2
662,0,13,14,2
663,0,13,14,2
664,0,13,14,2
665,0,13,14,2
666,0,13,14,2
667,0,13,14,2
668,0,13,14,2
669,0,13,14,2
670,0,13,14,2
671,0,13,14,2
672,0,13,14,2
673,0,13,14,2
674,0,13,14,2
675,0,13,14,2
676,0,13,14,2
677,0,13,14,2
678,0,13,14,2
679,0,13,14,2
680,0,13,14,2
681,0,13,14,2
682,0,13,14,2
683,0,13,14,2
684,0,13,14,2
685,0,13,14,2
686,0,13,14,2
687,0,13,14,2
688,0,13,14,2
689,0,13,14,2
690,0,13,14,2
691,0,13,14,2
692,0,13,14,2
693,0,13,14,2
694,0,13,14,2
695,0,13,14,2
696,0,13,14,2
697,0,13,14,2
698,0,13,14,2
699,0,13,14,2
700,0,13,14,2
701,0,13,14,2
702,0,13,14,2
703,0,13,14,2
704,0,13,14,2
705,0,13,14,2
706,0,13,14,2
707,0,13,14,2
708,0,13,14,2
709,0,13,14,2
710,0,13,14,2
711,0,13,14,2
712,0,13,14,2
713,0,13,14,2
714,0,13,14,2
715,0,13,14,2
716,0,13,14,2
717,0,13,14,2
718,0,13,14,2
719,0,13,14,2
720,0,13,14,2
721,0,13,14,2
722,0,13,14,2
723,0,13,14,2
724,0,13,14,2
725,0,13,14,2
726,0,13,14,2
727,0,13,14,2
728,0,13,14,2
729,0,13,14,2
730,0,13,14,2
731,0,13,14,2
732,0,13,14,2
733,0,13,14,2
734,0,13,14,2
735,0,13,14,2
736,0,13,14,2
737,0,13,14,2
738,0,13,14,2
739,0,13,14,2
740,0,13,14,2
741,0,13,14,2
742,0,13,14,2
743,0,13,14,2
744,0,13,14,2
745,0,13,14,2
746,0,13,14,2
747,0,13,14,2
748,0,13,14,2
749,0,13,14,2
750,0,13,14,2
751,0,13,14,2
752,0,13,14,2
753,0,13,14,2
754,0,13,14,2
755,0,13,14,2
756,0,13,14,2
757,0,13,14,2
758,0,13,14,2
759,0,13,14,2
760,0,13,14,2
761,0,13,14,2
762,0,12,15,3
763,0,12,15,3
764,0,12,15,3
765,0,12,15,3
766,0,12,15,3
767,0,12,15,3
768,0,12,15,3
769,0,12,15,3
770,0,12,15,3
771,0,12,15,3
772,0,12,15,3
773,0,12,15,3
774,0,12,15,3
775,0,12,15,3
776,0,12,15,3
777,0,12,15,3
778,0,12,15,3
779,0,12,15,3
780,0,12,15,3
781,0,12,15,3
782,0,12,15,3
783,0,12,15,3
784,0,12,15,3
785,0,12,15,3
786,0,12,15,3
787,0,12,15,3
788,0,12,15,3
789,0,12,15,3
790,0,12,15,3
791,0,12,15,3
792,0,12,15,3
793,0,12,15,3
794,0,12,15,3
795,0,12,15,3
796,0,12,15,3
797,0,12,15,3
798,0,12,15,3
799,0,12,15,3
800,0,12,15,3
801,0,12,15,3
802,0,12,15,3
803,0,12,15,3
804,0,12,15,3
805,0,12,15,3
806,0,12,15,3
807,0,12,15,3
808,0,12,15,3
809,0,12,15,3
810,0,12,15,3
811,0,12,15,3
812,0,12,15,3
813,0,12,15,3
814,0,12,15,3
815,0,12,15,3
816,0,12,15,3
817,0,12,15,3
818,0,12,15,3
819,0,12,15,3
820,0,12,15,3
821,0,12,15,3
822,0,12,15,3
823,0,12,15,3
824,0,12,15,3
825,0,12,15,3
826,0,12,15,3
827,0,12,15,3
828,0,12,15,3
829,0,12,15,3
830,0,12,15,3
831,0,12,15,3
832,0,12,15,3
833,0,12,15,3
834,0,12,15,3
835,0,12,15,3
836,0,12,15,3
837,0,12,15,3
838,0,12,15,3
839,0,12,15,3
840,0,12,15,3
841,0,12,15,3
842,0,12,15,3
843,0,12,15,3
844,0,12,15,3
845,0,12,15,3
846,0,12,15,3
847,0,12,15,3
848,0,12,15,3
849,0,12,15,3
850,0,12,15,3
851,0,12,15,3
852,0,12,15,3
853,0,12,15,3
854,0,12,15,3
855,0,12,15,3
856,0,12,15,3
857,0,12,15,3
858,0,12,15,3
859,0,12,15,3
860,0,12,15,3
861,0,12,15,3
862,0,12,15,3
863,0,12,15,3
864,0,12,15,3
865,0,12,15,3
866,0,12,15,3
867,0,12,15,3
868,0,12,15,3
869,0,12,15,3
870,0,12,15,3
871,0,12,15,3
872,0,12,15,3
873,0,12,15,3
874,0,12,15,3
875,0,12,15,3
876,0,12,15,3
877,0,12,15,3
878,0,12,15,3
879,0,12,15,3
880,0,12,15,3
881,0,12,15,3
882,0,12,15,3
883,0,12,15,3
884,0,12,15,3
885,0,12,15,3
886,0,12,15,3
887,0,12,15,3
888,0,12,15,3
889,0,12,15,3
890,0,12,15,3
891,0,12,15,3
892,0,12,15,3
893,0,12,15,3
894,0,12,15,3
895,0,12,15,3
896,0,12,14,3
897,0,12,14,3
898,0,12,14,3
899,0,12,14,3
900,0,12,14,3
901,0,12,14,3
902,0,12,14,3
903,0,12,14,3
904,0,12,14,3
905,0,12,14,3
906,0,12,14,3
907,0,12,14,3
908,0,12,14,3
909,0,12,14,3
910,0,12,14,3
911,0,12,14,3
912,0,12,14,3
913,0,12,14,3
914,0,12,14,3
915,0,12,14,3
916,0,12,14,3
917,0,12,14,3
918,0,12,14,3
919,0,12,14,3
920,0,12,14,3
921,0,12,14,3
922,0,12,14,3
923,0,12,14,3
924,0,12,14,3
925,0,12,14,3
926,0,12,14,3
927,0,12,14,3
928,0,12,14,3
929,0,12,14,3
930,0,12,14,3
931,0,12,14,3
932,0,12,14,3
933,0,12,14,3
934,0,12,14,3
935,0,12,14,3
936,0,12,14,3
937,0,12,14,3
938,0,12,14,3
939,0,12,14,3
940,0,12,14,3
941,0,12,14,3
942,0,12,14,3
943,0,12,14,3
944,0,12,14,3
945,0,12,14,3
946,0,12,14,3
947,0,12,14,3
948,0,12,14,3
949,0,12,14,3
950,0,12,14,3
951,0,12,14,3
952,0,12,14,3
953,0,12,14,3
954,0,12,14,3
955,0,12,14,3
956,0,12,14,3
957,0,12,14,3
958,0,12,14,3
959,0,12,14,3
960,0,12,14,3
961,0,12,14,3
962,0,12,14,3
963,0,12,14,3
964,0,12,14,3
965,0,12,14,3
966,0,12,14,3
967,0,12,14,3
968,0,12,14,3
969,0,12,14,3
970,0,12,14,3
971,0,12,14,3
972,0,12,14,3
973,0,12,14,3
974,0,12,14,3
975,0,12,14,3
976,0,12,14,3
977,0,12,14,3
978,0,12,14,3
979,0,12,14,3
980,0,12,14,3
981,0,12,14,3
982,0,12,14,3
983,0,12,14,3
984,0,12,14,3
985,0,12,14,3
986,0,12,14,3
987,0,12,14,3
988,0,12,14,3
989,0,12,14,3
990,0,12,14,3
991,0,12,14,3
992,0,12,14,3
993,0,12,14,3
994,0,12,14,3
995,0,12,14,3
996,0,12,14,3
997,0,12,14,3
998,0,12,14,3
999,0,12,14,3
1000,0,12,14,3
1001,0,12,14,3
1002,0,12,14,3
1003,0,12,14,3
1004,0,12,14,3
1005,0,12,14,3
1006,0,12,14,3
1007,0,12,14,3
1008,0,12,14,3
